finger	dirX	dirY	dirZ	group	w_f	w_b	subj_id	mapping	cond_vec
3	0.0	0.0	-0.9999999999989999	intact			117	on	0,0,0
3	0.0	0.0	0.9999999999989999	intact			117	on	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			117	on	0,0,0
4	0.9999999999989999	0.0	0.0	intact			117	on	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			117	on	0,0,0
4	0.0	0.9999999999989999	0.0	intact			117	on	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			117	on	0,0,0
4	0.0	0.0	0.9999999999989999	intact			117	on	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			117	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			117	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			117	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			117	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	on	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	on	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	on	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	on	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
0	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
1	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
2	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
3	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.9999999999989999	0.0	0.0	intact			118	off	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.9999999999989999	0.0	intact			118	off	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			118	off	0,0,0
4	0.0	0.0	0.9999999999989999	intact			118	off	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
0	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
0	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
0	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
1	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
1	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
1	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
2	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
2	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
2	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
3	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
3	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
3	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
4	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
4	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
4	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
0	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
0	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
0	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
0	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
0	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
1	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
1	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
1	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
1	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
1	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
1	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
2	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
2	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
2	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
2	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
2	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
2	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
3	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
3	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
3	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
3	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
3	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
3	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
4	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
4	0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
4	0.0	-0.9999999999989999	0.0	intact			119	on	0,0,0
4	0.0	0.9999999999989999	0.0	intact			119	on	0,0,0
4	0.0	0.0	-0.9999999999989999	intact			119	on	0,0,0
4	0.0	0.0	0.9999999999989999	intact			119	on	0,0,0
0	-0.9999999999989999	0.0	0.0	intact			119	on	0,0,0
